"id","Gender","Event","Location","Year","Medal","Name","Nationality","Result"
"73","M","100M Men","Beijing","2008","G","Usain BOLT","JAM","9.69"
"74","M","100M Men","Beijing","2008","S","Richard THOMPSON","TTO","9.89"
"75","M","100M Men","Beijing","2008","B","Walter DIX","USA","9.91"
"76","M","100M Men","Sydney","2000","G","Maurice GREENE","USA","9.87"
"77","M","100M Men","Sydney","2000","S","Ato BOLDON","TTO","9.99"
"78","M","100M Men","Sydney","2000","B","Obadele THOMPSON","BAR","10.04"
"79","M","100M Men","Barcelona","1992","G","Linford CHRISTIE","GBR","9.96"
"80","M","100M Men","Barcelona","1992","S","Frank FREDERICKS","NAM","10.02"
"81","M","100M Men","Barcelona","1992","B","Dennis MITCHELL","USA","10.04"
"82","M","100M Men","Los Angeles","1984","G","Carl LEWIS","USA","9.99"
"83","M","100M Men","Los Angeles","1984","S","Sam GRADDY","USA","10.19"
"84","M","100M Men","Los Angeles","1984","B","Ben JOHNSON","CAN","10.22"
"85","M","100M Men","Montreal","1976","G","Hasely CRAWFORD","TTO","10.06"
"86","M","100M Men","Montreal","1976","S","Donald QUARRIE","JAM","10.08"
"87","M","100M Men","Montreal","1976","B","Valery BORZOV","URS","10.14"
"88","M","100M Men","Mexico","1968","G","Jim HINES","USA","9.9"
"89","M","100M Men","Mexico","1968","S","Lennox MILLER","JAM","10"
"90","M","100M Men","Mexico","1968","B","Charlie GREENE","USA","10"
"91","M","100M Men","Rome","1960","G","Armin HARY","EUA","10.2"
"92","M","100M Men","Rome","1960","S","Dave SIME","USA","10.2"
"93","M","100M Men","Rome","1960","B","Peter RADFORD","GBR","10.3"
"94","M","100M Men","Helsinki","1952","G","Lindy REMIGINO","USA","10.4"
"95","M","100M Men","Helsinki","1952","S","Herbert MCKENLEY","JAM","10.4"
"96","M","100M Men","Helsinki","1952","B","Emmanuel McDONALD BAILEY","GBR","10.4"
"97","M","100M Men","Berlin","1936","G","Jesse OWENS","USA","10.3"
"98","M","100M Men","Berlin","1936","S","Ralph METCALFE","USA","10.4"
"99","M","100M Men","Berlin","1936","B","Martinus OSENDARP","NED","10.5"
"100","M","100M Men","Amsterdam","1928","G","Percy WILLIAMS","CAN","10.8"
"101","M","100M Men","Amsterdam","1928","S","Jack LONDON","GBR","10.9"
"102","M","100M Men","Amsterdam","1928","B","Georg LAMMERS","GER","10.9"
"103","M","100M Men","Antwerp","1920","G","Charles PADDOCK","USA","10.8"
"104","M","100M Men","Antwerp","1920","S","Morris KIRKSEY","USA","10.8"
"105","M","100M Men","Antwerp","1920","B","Harry EDWARD","GBR","10.9"
"106","M","100M Men","London","1908","G","Reggie WALKER","RSA","10.8"
"107","M","100M Men","London","1908","S","John RECTOR","USA","None"
"108","M","100M Men","London","1908","B","Robert KERR","CAN","None"
"109","M","100M Men","Paris","1900","G","Frank JARVIS","USA","11"
"110","M","100M Men","Paris","1900","S","Walter TEWKSBURY","USA","11.1"
"111","M","100M Men","Paris","1900","B","Stanley ROWLEY","AUS","11.2"
"112","M","100M Men","London","2012","G","Usain BOLT","JAM","9.63"
"113","M","100M Men","London","2012","S","Yohan BLAKE","JAM","9.75"
"114","M","100M Men","London","2012","B","Justin GATLIN","USA","9.79"
"115","M","100M Men","Athens","2004","G","Justin GATLIN","USA","9.85"
"116","M","100M Men","Athens","2004","S","Francis OBIKWELU","POR","9.86"
"117","M","100M Men","Athens","2004","B","Maurice GREENE","USA","9.87"
"118","M","100M Men","Atlanta","1996","G","Donovan BAILEY","CAN","9.84"
"119","M","100M Men","Atlanta","1996","S","Frank FREDERICKS","NAM","9.89"
"120","M","100M Men","Atlanta","1996","B","Ato BOLDON","TTO","9.9"
"121","M","100M Men","Moscow","1980","G","Allan WELLS","GBR","10.25"
"122","M","100M Men","Moscow","1980","S","Silvio LEONARD SARRIA","CUB","10.25"
"123","M","100M Men","Moscow","1980","B","Peter PETROV","BUL","10.39"
"124","M","100M Men","Munich","1972","G","Valery BORZOV","URS","10.14"
"125","M","100M Men","Munich","1972","S","Robert TAYLOR","USA","10.24"
"126","M","100M Men","Munich","1972","B","Lennox MILLER","JAM","10.33"
"127","M","100M Men","Tokyo","1964","G","Bob HAYES","USA","10"
"128","M","100M Men","Tokyo","1964","S","Enrique FIGUEROLA","CUB","10.2"
"129","M","100M Men","Tokyo","1964","B","Harry JEROME","CAN","10.2"
"130","M","100M Men","Melbourne / Stockholm","1956","G","Bobby MORROW","USA","10.5"
"131","M","100M Men","Melbourne / Stockholm","1956","S","Thane BAKER","USA","10.5"
"132","M","100M Men","Melbourne / Stockholm","1956","B","Hector HOGAN","AUS","10.6"
"133","M","100M Men","London","1948","G","Harrison DILLARD","USA","10.3"
"134","M","100M Men","London","1948","S","Barney EWELL","USA","10.4"
"135","M","100M Men","London","1948","B","Lloyd LABEACH","PAN","10.6"
"136","M","100M Men","Los Angeles","1932","G","Eddie TOLAN","USA","10.3"
"137","M","100M Men","Los Angeles","1932","S","Ralph METCALFE","USA","10.3"
"138","M","100M Men","Los Angeles","1932","B","Arthur JONATH","GER","10.4"
"139","M","100M Men","Paris","1924","G","Harold ABRAHAMS","GBR","10.6"
"140","M","100M Men","Paris","1924","S","Jackson SCHOLZ","USA","10.7"
"141","M","100M Men","Paris","1924","B","Arthur PORRITT","NZL","10.8"
"142","M","100M Men","Stockholm","1912","G","Ralph CRAIG","USA","10.8"
"143","M","100M Men","Stockholm","1912","S","Alvah MEYER","USA","10.9"
"144","M","100M Men","Stockholm","1912","B","Donald LIPPINCOTT","USA","10.9"
"145","M","100M Men","St Louis","1904","G","Archie HAHN","USA","11"
"146","M","100M Men","St Louis","1904","S","Nate CARTMELL","USA","11.2"
"147","M","100M Men","St Louis","1904","B","William HOGENSON","USA","11.2"
"148","M","100M Men","Athens","1896","G","Thomas BURKE","USA","12"
"149","M","100M Men","Athens","1896","S","Fritz HOFMANN","GER","12.2"
"150","M","100M Men","Athens","1896","B","Alajos SZOKOLYI","HUN","12.6"
"151","M","100M Men","Athens","1896","B","Francis LANE","USA","12.6"
"152","M","110M Hurdles Men","Rio","2016","G","Omar MCLEOD","JAM","13.05"
"153","M","110M Hurdles Men","Rio","2016","S","Orlando ORTEGA","ESP","13.17"
"154","M","110M Hurdles Men","Rio","2016","B","Dimitri BASCOU","FRA","13.24"
"155","M","110M Hurdles Men","Beijing","2008","G","Dayron ROBLES","CUB","12.93"
"156","M","110M Hurdles Men","Beijing","2008","S","David PAYNE","USA","13.17"
"157","M","110M Hurdles Men","Beijing","2008","B","David OLIVER","USA","13.18"
"158","M","110M Hurdles Men","Sydney","2000","G","Anier GARCIA","CUB","13"
"159","M","110M Hurdles Men","Sydney","2000","S","Terrence TRAMMELL","USA","13.16"
"160","M","110M Hurdles Men","Sydney","2000","B","Mark CREAR","USA","13.22"
"161","M","110M Hurdles Men","Barcelona","1992","G","Mark MCKOY","CAN","13.12"
"162","M","110M Hurdles Men","Barcelona","1992","S","Tony DEES","USA","13.24"
"163","M","110M Hurdles Men","Barcelona","1992","B","Jack PIERCE","USA","13.26"
"164","M","110M Hurdles Men","Los Angeles","1984","G","Roger KINGDOM","USA","13.2"
"165","M","110M Hurdles Men","Los Angeles","1984","S","Greg FOSTER","USA","13.23"
"166","M","110M Hurdles Men","Los Angeles","1984","B","Arto BRYGGARE","FIN","13.4"
"167","M","110M Hurdles Men","Montreal","1976","G","Guy DRUT","FRA","13.3"
"168","M","110M Hurdles Men","Montreal","1976","S","Alejandro CASAÃAS","CUB","13.33"
"169","M","110M Hurdles Men","Montreal","1976","B","Willie DAVENPORT","USA","13.38"
"170","M","110M Hurdles Men","Mexico","1968","G","Willie DAVENPORT","USA","13.3"
"171","M","110M Hurdles Men","Mexico","1968","S","Ervin HALL","USA","13.4"
"172","M","110M Hurdles Men","Mexico","1968","B","Eddy OTTOZ","ITA","13.4"
"173","M","110M Hurdles Men","Rome","1960","G","Lee CALHOUN","USA","13.8"
"174","M","110M Hurdles Men","Rome","1960","S","Willie MAY","USA","13.8"
"175","M","110M Hurdles Men","Rome","1960","B","Hayes JONES","USA","14"
"176","M","110M Hurdles Men","Helsinki","1952","G","Harrison DILLARD","USA","13.7"
"177","M","110M Hurdles Men","Helsinki","1952","S","Jack DAVIS","USA","13.7"
"178","M","110M Hurdles Men","Helsinki","1952","B","Arthur BARNARD","USA","14.1"
"179","M","110M Hurdles Men","Berlin","1936","G","Forrest TOWNS","USA","14.2"
"180","M","110M Hurdles Men","Berlin","1936","S","Donald FINLAY","GBR","14.4"
"181","M","110M Hurdles Men","Berlin","1936","B","Fritz POLLARD","USA","14.4"
"182","M","110M Hurdles Men","Amsterdam","1928","G","Sidney ATKINSON","RSA","14.8"
"183","M","110M Hurdles Men","Amsterdam","1928","S","Steve ANDERSON","USA","14.8"
"184","M","110M Hurdles Men","Amsterdam","1928","B","John COLLIER","USA","14.9"
"185","M","110M Hurdles Men","Antwerp","1920","G","Earl THOMSON","CAN","14.8"
"186","M","110M Hurdles Men","Antwerp","1920","S","Harold BARRON","USA","15.1"
"187","M","110M Hurdles Men","Antwerp","1920","B","Frederick MURRAY","USA","15.1"
"188","M","110M Hurdles Men","London","1908","G","Forrest SMITHSON","USA","15"
"189","M","110M Hurdles Men","London","1908","S","John GARRELLS","USA","15.7"
"190","M","110M Hurdles Men","London","1908","B","Arthur SHAW","USA","None"
"191","M","110M Hurdles Men","Paris","1900","G","Alvin KRAENZLEIN","USA","15.4"
"192","M","110M Hurdles Men","Paris","1900","S","John MCLEAN","USA","15.5"
"193","M","110M Hurdles Men","Paris","1900","B","Frederick MOLONEY","USA","15.6"
"194","M","110M Hurdles Men","London","2012","G","Aries MERRITT","USA","12.92"
"195","M","110M Hurdles Men","London","2012","S","Jason RICHARDSON","USA","13.04"
"196","M","110M Hurdles Men","London","2012","B","Hansle PARCHMENT","JAM","13.12"
"197","M","110M Hurdles Men","Athens","2004","G","Xiang LIU","CHN","12.91"
"198","M","110M Hurdles Men","Athens","2004","S","Terrence TRAMMELL","USA","13.18"
"199","M","110M Hurdles Men","Athens","2004","B","Anier GARCIA","CUB","13.2"
"200","M","110M Hurdles Men","Atlanta","1996","G","Allen JOHNSON","USA","12.95"
"201","M","110M Hurdles Men","Atlanta","1996","S","Mark CREAR","USA","13.09"
"202","M","110M Hurdles Men","Atlanta","1996","B","Florian SCHWARTHOFF","GER","13.17"
"203","M","110M Hurdles Men","Moscow","1980","G","Thomas MUNKELT","GDR","13.39"
"204","M","110M Hurdles Men","Moscow","1980","S","Alejandro CASAÃAS","CUB","13.4"
"205","M","110M Hurdles Men","Moscow","1980","B","Aleksandr PUCHKOV","URS","13.44"
"206","M","110M Hurdles Men","Munich","1972","G","Rod MILBURN","USA","13.24"
"207","M","110M Hurdles Men","Munich","1972","S","Guy DRUT","FRA","13.34"
"208","M","110M Hurdles Men","Munich","1972","B","Thomas HILL","USA","13.48"
"209","M","110M Hurdles Men","Tokyo","1964","G","Hayes JONES","USA","13.6"
"210","M","110M Hurdles Men","Tokyo","1964","S","Blaine LINDGREN","USA","13.7"
"211","M","110M Hurdles Men","Tokyo","1964","B","Anatoly MIKHAYLOV","URS","13.7"
"212","M","110M Hurdles Men","Melbourne / Stockholm","1956","G","Lee CALHOUN","USA","13.5"
"213","M","110M Hurdles Men","Melbourne / Stockholm","1956","S","Jack DAVIS","USA","13.5"
"214","M","110M Hurdles Men","Melbourne / Stockholm","1956","B","Joel SHANKLE","USA","14.1"
"215","M","110M Hurdles Men","London","1948","G","Bill PORTER","USA","13.9"
"216","M","110M Hurdles Men","London","1948","S","Clyde SCOTT","USA","14.1"
"217","M","110M Hurdles Men","London","1948","B","Craig DIXON","USA","14.1"
"218","M","110M Hurdles Men","Los Angeles","1932","G","George SALING","USA","14.6"
"219","M","110M Hurdles Men","Los Angeles","1932","S","Percy BEARD","USA","14.7"
"220","M","110M Hurdles Men","Los Angeles","1932","B","Donald FINLAY","GBR","14.8"
"221","M","110M Hurdles Men","Paris","1924","G","Daniel KINSEY","USA","15"
"222","M","110M Hurdles Men","Paris","1924","S","Sidney ATKINSON","RSA","15"
"223","M","110M Hurdles Men","Paris","1924","B","Sten PETTERSSON","SWE","15.4"
"224","M","110M Hurdles Men","Stockholm","1912","G","Frederick KELLY","USA","15.1"
"225","M","110M Hurdles Men","Stockholm","1912","S","James WENDELL","USA","15.2"
"226","M","110M Hurdles Men","Stockholm","1912","B","Martin HAWKINS","USA","15.3"
"227","M","110M Hurdles Men","St Louis","1904","G","Frederick SCHULE","USA","16"
"228","M","110M Hurdles Men","St Louis","1904","S","Thaddeus SHIDELER","USA","16.3"
"229","M","110M Hurdles Men","St Louis","1904","B","Lesley ASHBURNER","USA","16.4"
"230","M","110M Hurdles Men","Athens","1896","G","Thomas CURTIS","USA","17.6"
"231","M","110M Hurdles Men","Athens","1896","S","Grantley GOULDING","GBR","17.7"
"232","M","1500M Men","Rio","2016","G","Matthew CENTROWITZ","USA","03:50.0"
"233","M","1500M Men","Rio","2016","S","Taoufik MAKHLOUFI","ALG","03:50.1"
"234","M","1500M Men","Rio","2016","B","Nicholas WILLIS","NZL","03:50.2"
"235","M","1500M Men","Beijing","2008","G","Asbel Kipruto KIPROP","KEN","03:33.1"
"236","M","1500M Men","Beijing","2008","S","Nicholas WILLIS","NZL","03:34.2"
"237","M","1500M Men","Beijing","2008","B","Medhi BAALA","FRA","03:34.2"
"238","M","1500M Men","Sydney","2000","G","Noah Kiprono NGENYI","KEN","03:32.1"
"239","M","1500M Men","Sydney","2000","S","Hicham EL GUERROUJ","MAR","03:32.3"
"240","M","1500M Men","Sydney","2000","B","Bernard LAGAT","KEN","03:32.4"
"241","M","1500M Men","Barcelona","1992","G","Fermin CACHO RUIZ","ESP","03:40.1"
"242","M","1500M Men","Barcelona","1992","S","Rachid EL BASIR","MAR","03:40.6"
"243","M","1500M Men","Barcelona","1992","B","Mohamed Ahmed SULAIMAN","QAT","03:40.7"
"244","M","1500M Men","Los Angeles","1984","G","Sebastian COE","GBR","03:32.5"
"245","M","1500M Men","Los Angeles","1984","S","Steve CRAM","GBR","03:33.4"
"246","M","1500M Men","Los Angeles","1984","B","JosÃ© Manuel ABASCAL","ESP","03:34.3"
"247","M","1500M Men","Montreal","1976","G","John George WALKER","NZL","03:39.2"
"248","M","1500M Men","Montreal","1976","S","Ivo VAN DAMME","BEL","03:39.3"
"249","M","1500M Men","Montreal","1976","B","Paul-Heinz WELLMANN","FRG","03:39.3"
"250","M","1500M Men","Mexico","1968","G","Kip KEINO","KEN","03:34.9"
"251","M","1500M Men","Mexico","1968","S","Jim RYUN","USA","03:37.8"
"252","M","1500M Men","Mexico","1968","B","Bodo TÃMMLER","FRG","03:39.0"
"253","M","1500M Men","Rome","1960","G","Herb ELLIOTT","AUS","03:35.6"
"254","M","1500M Men","Rome","1960","S","Michel JAZY","FRA","03:38.4"
"255","M","1500M Men","Rome","1960","B","IstvÃ¡n RÃZSAVÃLGYI","HUN","03:39.2"
"256","M","1500M Men","Helsinki","1952","G","Joseph BARTHEL","LUX","03:45.2"
"257","M","1500M Men","Helsinki","1952","S","Robert MCMILLEN","USA","03:45.2"
"258","M","1500M Men","Helsinki","1952","B","Werner LUEG","GER","03:45.4"
"259","M","1500M Men","Berlin","1936","G","John LOVELOCK","NZL","03:47.8"
"260","M","1500M Men","Berlin","1936","S","Glenn CUNNINGHAM","USA","03:48.4"
"261","M","1500M Men","Berlin","1936","B","Luigi BECCALI","ITA","03:49.2"
"262","M","1500M Men","Amsterdam","1928","G","Harri LARVA","FIN","03:53.2"
"263","M","1500M Men","Amsterdam","1928","S","Jules LADOUMEGUE","FRA","03:53.8"
"264","M","1500M Men","Amsterdam","1928","B","Eino PURJE","FIN","03:56.4"
"265","M","1500M Men","Antwerp","1920","G","Albert HILL","GBR","04:01.8"
"266","M","1500M Men","Antwerp","1920","S","Philip BAKER","GBR","04:02.4"
"267","M","1500M Men","Antwerp","1920","B","Lawrence SHIELDS","USA","04:03.1"
"268","M","1500M Men","London","1908","G","Melvin SHEPPARD","USA","04:03.4"
"269","M","1500M Men","London","1908","S","Harold WILSON","GBR","04:03.6"
"270","M","1500M Men","London","1908","B","Norman HALLOWS","GBR","04:04.0"
"271","M","1500M Men","Paris","1900","G","Charles BENNETT","GBR","04:06.2"
"272","M","1500M Men","Paris","1900","S","Henri DELOGE","FRA","04:06.6"
"273","M","1500M Men","Paris","1900","B","John BRAY","USA","04:07.2"
"274","M","1500M Men","London","2012","G","Taoufik MAKHLOUFI","ALG","03:34.1"
"275","M","1500M Men","London","2012","S","Leonel MANZANO","USA","03:34.8"
"276","M","1500M Men","London","2012","B","Abdalaati IGUIDER","MAR","03:35.1"
"277","M","1500M Men","Athens","2004","G","Hicham EL GUERROUJ","MAR","03:34.2"
"278","M","1500M Men","Athens","2004","S","Bernard LAGAT","KEN","03:34.3"
"279","M","1500M Men","Athens","2004","B","Rui SILVA","POR","03:34.7"
"280","M","1500M Men","Atlanta","1996","G","Noureddine MORCELI","ALG","03:35.8"
"281","M","1500M Men","Atlanta","1996","S","Fermin CACHO RUIZ","ESP","03:36.4"
"282","M","1500M Men","Atlanta","1996","B","Stephen KIPKORIR","KEN","03:36.7"
"283","M","1500M Men","Moscow","1980","G","Sebastian COE","GBR","03:38.4"
"284","M","1500M Men","Moscow","1980","S","JÃ¼rgen STRAUB","GDR","03:38.8"
"285","M","1500M Men","Moscow","1980","B","Steve OVETT","GBR","03:39.0"
"286","M","1500M Men","Munich","1972","G","Pekka VASALA","FIN","03:36.3"
"287","M","1500M Men","Munich","1972","S","Kip KEINO","KEN","03:36.8"
"288","M","1500M Men","Munich","1972","B","Rodney DIXON","NZL","03:37.5"
"289","M","1500M Men","Tokyo","1964","G","Peter SNELL","NZL","03:38.1"
"290","M","1500M Men","Tokyo","1964","S","Josef ODLOZIL","TCH","03:39.6"
"291","M","1500M Men","Tokyo","1964","B","John DAVIES","NZL","03:39.6"
"292","M","1500M Men","Melbourne / Stockholm","1956","G","Ron DELANY","IRL","03:41.2"
"293","M","1500M Men","Melbourne / Stockholm","1956","S","Klaus RICHTZENHAIN","EUA","03:42.0"
"294","M","1500M Men","Melbourne / Stockholm","1956","B","John LANDY","AUS","03:42.0"
"295","M","1500M Men","London","1948","G","Henry ERIKSSON","SWE","03:49.8"
"296","M","1500M Men","London","1948","S","Lennart STRAND","SWE","03:50.4"
"297","M","1500M Men","London","1948","B","Willem SLIJKHUIS","NED","03:50.4"
"298","M","1500M Men","Los Angeles","1932","G","Luigi BECCALI","ITA","03:51.2"
"299","M","1500M Men","Los Angeles","1932","S","John CORNES","GBR","03:52.6"
"300","M","1500M Men","Los Angeles","1932","B","Philip EDWARDS","CAN","None"
"301","M","1500M Men","Paris","1924","G","Paavo NURMI","FIN","03:53.6"
"302","M","1500M Men","Paris","1924","S","Willy SCHÃRER","SUI","03:55.0"
"303","M","1500M Men","Paris","1924","B","Henry STALLARD","GBR","03:55.6"
"304","M","1500M Men","Stockholm","1912","G","Arnold JACKSON","GBR","03:56.8"
"305","M","1500M Men","Stockholm","1912","S","Abel KIVIAT","USA","03:56.9"
"306","M","1500M Men","Stockholm","1912","B","Norman TABER","USA","03:56.9"
"307","M","1500M Men","St Louis","1904","G","James LIGHTBODY","USA","04:05.4"
"308","M","1500M Men","St Louis","1904","S","William VERNER","USA","04:06.8"
"309","M","1500M Men","St Louis","1904","B","Lacey HEARN","USA","None"
"310","M","1500M Men","Athens","1896","G","Edwin FLACK","AUS","04:33.2"
"311","M","1500M Men","Athens","1896","S","Arthur BLAKE","USA","04:34.0"
"312","M","1500M Men","Athens","1896","B","Albin LERMUSIAUX","FRA","04:36.0"
"313","M","200M Men","Rio","2016","G","Usain BOLT","JAM","19.78"
"314","M","200M Men","Rio","2016","S","Andre DE GRASSE","CAN","20.02"
"315","M","200M Men","Rio","2016","B","Christophe LEMAITRE","FRA","20.12"
"316","M","200M Men","Beijing","2008","G","Usain BOLT","JAM","19.3"
"317","M","200M Men","Beijing","2008","S","Shawn CRAWFORD","USA","19.96"
"318","M","200M Men","Beijing","2008","B","Walter DIX","USA","19.98"
"319","M","200M Men","Sydney","2000","G","Kostas KENTERIS","GRE","20.09"
"320","M","200M Men","Sydney","2000","S","Darren CAMPBELL","GBR","20.14"
"321","M","200M Men","Sydney","2000","B","Ato BOLDON","TTO","20.2"
"322","M","200M Men","Barcelona","1992","G","Michael MARSH","USA","20.01"
"323","M","200M Men","Barcelona","1992","S","Frank FREDERICKS","NAM","20.13"
"324","M","200M Men","Barcelona","1992","B","Michael BATES","USA","20.38"
"325","M","200M Men","Los Angeles","1984","G","Carl LEWIS","USA","19.8"
"326","M","200M Men","Los Angeles","1984","S","Kirk BAPTISTE","USA","19.96"
"327","M","200M Men","Los Angeles","1984","B","Thomas JEFFERSON","USA","20.26"
"328","M","200M Men","Montreal","1976","G","Donald QUARRIE","JAM","20.23"
"329","M","200M Men","Montreal","1976","S","Millard Frank Jr. HAMPTON","USA","20.29"
"330","M","200M Men","Montreal","1976","B","Dwayne Eugene EVANS","USA","20.43"
"331","M","200M Men","Mexico","1968","G","Tommie SMITH","USA","19.8"
"332","M","200M Men","Mexico","1968","S","Peter NORMAN","AUS","20"
"333","M","200M Men","Mexico","1968","B","John CARLOS","USA","20"
"334","M","200M Men","Rome","1960","G","Livio BERRUTI","ITA","20.5"
"335","M","200M Men","Rome","1960","S","Lester Nelson CARNEY","USA","20.6"
"336","M","200M Men","Rome","1960","B","Abdoulaye SEYE","FRA","20.7"
"337","M","200M Men","Helsinki","1952","G","Andy STANFIELD","USA","20.7"
